actual,predicted,error,brand,model,age
27150,32073.0,-4922.984375,kia,Kia XCeed,1
9199,8049.0,1149.68017578125,ford,Ford B-Max,11
10670,13763.0,-3093.4580078125,mini,MINI One D,7
339000,366210.0,-27210.4375,ferrari,Ferrari F8 Tributo,3
6500,6421.0,78.9912109375,volkswagen,Volkswagen Cross Touran,17
6599,9466.0,-2866.5341796875,ford,Ford Focus,10
28980,23096.0,5883.9296875,seat,SEAT Ateca,3
18990,25521.0,-6531.166015625,mercedes-benz,Mercedes-Benz B 220,9
24789,29354.0,-4565.138671875,volkswagen,Volkswagen Taigo,2
17480,16623.0,856.548828125,hyundai,Hyundai TUCSON,6
12990,14022.0,-1031.6005859375,opel,Opel Corsa,5
10900,10062.0,838.1904296875,bmw,BMW 118,15
14990,16209.0,-1218.6533203125,smart,smart forTwo,6
35499,31651.0,3848.22265625,seat,SEAT Tarraco,5
25890,30269.0,-4378.7265625,skoda,Skoda Superb,8
12799,12169.0,630.4150390625,volkswagen,Volkswagen Golf Sportsvan,9
18988,19348.0,-359.697265625,renault,Renault Talisman,6
8999,8763.0,236.2529296875,opel,Opel Astra,13
7950,10471.0,-2521.0224609375,seat,SEAT Ibiza,10
33990,30964.0,3026.162109375,mercedes-benz,Mercedes-Benz E 220,7
8700,4729.0,3970.58447265625,volkswagen,Volkswagen T4 Multivan,25
10900,13017.0,-2117.2451171875,hyundai,Hyundai i20,7
21750,15955.0,5794.65234375,skoda,Skoda Karoq,6
14790,15906.0,-1115.51171875,volkswagen,Volkswagen Caddy,10
9900,8991.0,908.859375,audi,Audi A5,15
2200,3312.0,-1111.568359375,volkswagen,Volkswagen Lupo,22
12500,13848.0,-1348.26953125,seat,SEAT Ibiza,4
14990,18011.0,-3020.92578125,audi,Audi A4,9
13200,18907.0,-5706.578125,bmw,BMW 328,12
8750,9728.0,-978.42578125,audi,Audi A6,14
29890,29984.0,-94.45703125,volvo,Volvo XC60,6
8990,10469.0,-1478.5166015625,ford,Ford Fiesta,8
20900,21831.0,-931.119140625,mercedes-benz,Mercedes-Benz E 350,12
66900,73825.0,-6925.3046875,porsche,Porsche Cayenne,6
38800,48013.0,-9213.3359375,audi,Audi SQ7,7
11790,12881.0,-1090.8095703125,smart,smart forTwo,9
2490,2160.0,329.760009765625,opel,Opel Astra,20
25999,24606.0,1393.041015625,mercedes-benz,Mercedes-Benz C 220,8
45990,54515.0,-8525.26171875,ssangyong,SsangYong REXTON,1
17700,21913.0,-4213.005859375,bmw,BMW X1,9
21990,21628.0,361.875,bmw,BMW 320,8
23749,28157.0,-4407.818359375,audi,Audi A4,7
17900,16364.0,1536.306640625,ford,Ford Galaxy,7
22390,21691.0,698.541015625,fiat,Fiat Tipo,2
20840,24939.0,-4098.841796875,toyota,Toyota Proace,3
51999,44224.0,7775.328125,alfa-romeo,Alfa Romeo Stelvio,2
13950,12066.0,1883.7021484375,opel,Opel Astra,8
43500,37418.0,6081.71484375,mercedes-benz,Mercedes-Benz GLE 350,8
16990,16708.0,281.63671875,skoda,Skoda Octavia,7
14500,15273.0,-773.18359375,seat,SEAT Leon,7
16990,16341.0,648.6396484375,ford,Ford Grand C-Max,8
26889,26121.0,768.3828125,bmw,BMW X1,6
13850,16442.0,-2592.00390625,opel,Opel Adam,6
5850,18936.0,-13086.119140625,audi,Audi Q5,14
51899,58233.0,-6333.58984375,land-rover,Land Rover Discovery Sport,2
16200,15235.0,964.89453125,opel,Opel Corsa,5
20360,20714.0,-353.724609375,volkswagen,Volkswagen Polo,6
24720,23705.0,1014.8515625,skoda,Skoda Octavia,5
12490,12541.0,-50.890625,toyota,Toyota Auris,11
12999,10855.0,2143.9873046875,bmw,BMW X1,14
10800,13629.0,-2828.7373046875,ford,Ford,7
28297,32900.0,-4602.875,hyundai,Hyundai KONA,1
8800,12280.0,-3479.5810546875,mercedes-benz,Mercedes-Benz C 200,12
21980,22813.0,-832.787109375,nissan,Nissan Qashqai,5
8990,20867.0,-11877.181640625,ford,Ford EcoSport,5
57000,59340.0,-2340.0546875,land-rover,Land Rover Range Rover Sport,5
6900,9028.0,-2127.89453125,opel,Opel Astra,7
9990,8333.0,1657.0302734375,honda,Honda Civic,11
29990,32851.0,-2860.95703125,mazda,Mazda CX-3,2
13400,12533.0,866.7265625,audi,Audi Q3,11
78288,84347.0,-6058.71875,audi,Audi Q8,1
81850,88121.0,-6270.9921875,volvo,Volvo XC90,2
16600,14133.0,2467.3935546875,mercedes-benz,Mercedes-Benz E 250,14
27822,34048.0,-6226.453125,seat,SEAT Ateca,3
12950,12366.0,583.8232421875,opel,Opel Mokka,9
20300,17462.0,2837.53515625,bmw,BMW Z4,15
29999,34968.0,-4968.6875,bmw,BMW 140,8
11390,13418.0,-2027.720703125,peugeot,Peugeot 108,4
66300,72309.0,-6009.3515625,mercedes-benz,Mercedes-Benz GLE 63 AMG,6
10950,12154.0,-1204.123046875,mercedes-benz,Mercedes-Benz SLK 230,23
81900,91299.0,-9398.6328125,land-rover,Land Rover Defender,2
34990,49450.0,-14459.76171875,mercedes-benz,Mercedes-Benz E 350,4
23990,24601.0,-611.111328125,seat,SEAT Arona,3
7500,12752.0,-5252.357421875,bmw,BMW 730,12
23950,28875.0,-4925.4375,volkswagen,Volkswagen Golf,3
19500,19853.0,-353.216796875,bmw,BMW 520,7
3500,5490.0,-1989.5,audi,Audi A4,22
13650,12528.0,1121.7275390625,mercedes-benz,Mercedes-Benz E 220,15
2500,1902.0,597.6468505859375,hyundai,Hyundai Atos,19
10500,15866.0,-5366.490234375,bmw,BMW X3,13
19990,17931.0,2059.34375,hyundai,Hyundai TUCSON,6
21900,23565.0,-1664.779296875,citroen,Citroen C3 Aircross,2
17900,23926.0,-6026.451171875,ford,Ford Focus,5
6999,2581.0,4417.950927734375,bmw,BMW X3,18
46440,43230.0,3210.4765625,audi,Audi A5,2
24440,25959.0,-1518.576171875,ford,Ford Edge,7
8750,10399.0,-1648.837890625,mercedes-benz,Mercedes-Benz CLS 350,19
16950,16051.0,899.4150390625,ford,Ford Grand C-Max,8
15490,18005.0,-2514.763671875,renault,Renault Megane,7
16850,15726.0,1123.9482421875,skoda,Skoda Fabia,7
10500,21611.0,-11110.90234375,skoda,Skoda Superb,8
33890,33981.0,-90.57421875,skoda,Skoda Karoq,1
80550,92772.0,-12221.8359375,land-rover,Land Rover Defender,2
67950,58468.0,9482.47265625,cadillac,Cadillac Escalade,5
19690,20096.0,-405.689453125,fiat,Fiat 500C,2
17890,17417.0,472.8515625,seat,SEAT Arona,3
56000,42687.0,13313.48046875,mercedes-benz,Mercedes-Benz Marco Polo,6
38190,38009.0,181.22265625,mitsubishi,Mitsubishi Eclipse Cross,1
7500,7171.0,329.1474609375,lada,Lada Niva,12
25800,21678.0,4122.162109375,mercedes-benz,Mercedes-Benz Vito,8
19999,15617.0,4382.2041015625,volkswagen,Volkswagen Golf,12
32290,27728.0,4562.412109375,ford,Ford Focus,1
39949,36726.0,3223.27734375,mercedes-benz,Mercedes-Benz A 35 AMG,5
4990,6006.0,-1015.75634765625,mercedes-benz,Mercedes-Benz A 160,14
3190,3380.0,-190.13720703125,kia,Kia Picanto,15
68780,64624.0,4155.75,volkswagen,Volkswagen T6.1 California,1
72450,58555.0,13894.5859375,volkswagen,Volkswagen Touareg,3
23749,24693.0,-943.82421875,skoda,Skoda Octavia,6
39950,39738.0,212.27734375,mercedes-benz,Mercedes-Benz GLE 350,6
19990,17526.0,2464.455078125,ford,Ford Tourneo Courier,4
69990,54601.0,15389.27734375,audi,Audi A6,1
29990,31255.0,-1265.02734375,ford,Ford Focus,1
19999,18568.0,1431.056640625,fiat,Fiat 124 Spider,6
2299,3525.0,-1225.53271484375,volkswagen,Volkswagen Polo,18
45890,50609.0,-4718.703125,volvo,Volvo XC60,2
11990,12159.0,-168.6943359375,dacia,Dacia Sandero,6
12999,15513.0,-2513.642578125,kia,Kia Ceed SW / cee'd SW,6
57850,43397.0,14452.62890625,mercedes-benz,Mercedes-Benz GLA 200,1
88850,91658.0,-2808.3125,audi,Audi Q8,1
4000,7718.0,-3718.34619140625,bmw,BMW 116,14
17000,17545.0,-545.046875,volkswagen,Volkswagen Beetle,11
5900,6225.0,-325.12548828125,opel,Opel Astra,16
10850,7319.0,3530.94287109375,ford,Ford Transit,15
11600,11698.0,-97.705078125,volkswagen,Volkswagen CC,10
