actual,predicted,error,brand,model,age
66950,26290.0,40659.72903855353,audi,Audi A6,1
3000,23163.0,-20163.07956142853,opel,Opel Corsa,17
16995,23830.0,-6834.994867905825,volkswagen,Volkswagen Caddy,9
22999,25151.0,-2152.481956503805,renault,Renault Talisman,4
11999,24240.0,-12240.541710126148,skoda,Skoda Fabia,7
27150,25625.0,1525.1975824793917,kia,Kia XCeed,1
9199,23908.0,-14709.113473256737,ford,Ford B-Max,11
10670,23856.0,-13186.333675488266,mini,MINI One D,7
339000,31370.0,307630.0445661712,ferrari,Ferrari F8 Tributo,3
6500,23538.0,-17038.277968624447,volkswagen,Volkswagen Cross Touran,17
6599,23855.0,-17256.00735660525,ford,Ford Focus,10
28980,24093.0,4887.460353926839,seat,SEAT Ateca,3
18990,25203.0,-6212.531579621256,mercedes-benz,Mercedes-Benz B 220,9
24789,25150.0,-361.48902919643297,volkswagen,Volkswagen Taigo,2
17480,24582.0,-7102.126701742378,hyundai,Hyundai TUCSON,6
12990,24555.0,-11564.698588096107,opel,Opel Corsa,5
10900,24116.0,-13216.082983813503,bmw,BMW 118,15
14990,24319.0,-9329.465334052624,smart,smart forTwo,6
35499,25691.0,9807.685429232955,seat,SEAT Tarraco,5
25890,26129.0,-238.82123701827368,skoda,Skoda Superb,8
12799,23876.0,-11076.84753586943,volkswagen,Volkswagen Golf Sportsvan,9
18988,24695.0,-5707.197147121886,renault,Renault Talisman,6
8999,23938.0,-14938.74436286253,opel,Opel Astra,13
7950,23946.0,-15995.864470148616,seat,SEAT Ibiza,10
33990,25155.0,8834.754862690283,mercedes-benz,Mercedes-Benz E 220,7
8700,23002.0,-14302.087587624199,volkswagen,Volkswagen T4 Multivan,25
10900,24082.0,-13181.61284228471,hyundai,Hyundai i20,7
21750,24422.0,-2671.9144603468994,skoda,Skoda Karoq,6
14790,23876.0,-9085.530147062094,volkswagen,Volkswagen Caddy,10
9900,24700.0,-14800.30964185813,audi,Audi A5,15
2200,22551.0,-20350.505863527647,volkswagen,Volkswagen Lupo,22
12500,24062.0,-11561.945454595185,seat,SEAT Ibiza,4
14990,24494.0,-9503.555489087532,audi,Audi A4,9
13200,25482.0,-12281.899843251413,bmw,BMW 328,12
8750,24404.0,-15653.603614988308,audi,Audi A6,14
29890,25324.0,4566.319887222911,volvo,Volvo XC60,6
8990,23846.0,-14855.619884985907,ford,Ford Fiesta,8
20900,25515.0,-4614.610630619351,mercedes-benz,Mercedes-Benz E 350,12
66900,27881.0,39018.57787921788,porsche,Porsche Cayenne,6
38800,27194.0,11606.458122564705,audi,Audi SQ7,7
11790,24032.0,-12242.032919528927,smart,smart forTwo,9
2490,23591.0,-21100.563105729885,opel,Opel Astra,20
25999,25023.0,975.5784587627713,mercedes-benz,Mercedes-Benz C 220,8
45990,26246.0,19744.443397211802,ssangyong,SsangYong REXTON,1
17700,25373.0,-7672.865341242414,bmw,BMW X1,9
21990,25066.0,-3075.608628038255,bmw,BMW 320,8
23749,25330.0,-1580.5883409406706,audi,Audi A4,7
17900,24601.0,-6701.273766361694,ford,Ford Galaxy,7
22390,24975.0,-2584.740089683415,fiat,Fiat Tipo,2
20840,24296.0,-3455.695645326199,toyota,Toyota Proace,3
51999,26288.0,25710.638817936713,alfa-romeo,Alfa Romeo Stelvio,2
13950,24523.0,-10572.922216701903,opel,Opel Astra,8
43500,25770.0,17729.97646838489,mercedes-benz,Mercedes-Benz GLE 350,8
16990,24518.0,-7528.144936585286,skoda,Skoda Octavia,7
14500,24313.0,-9812.865449271318,seat,SEAT Leon,7
16990,24751.0,-7761.29002371995,ford,Ford Grand C-Max,8
26889,25438.0,1450.7617930562774,bmw,BMW X1,6
13850,24429.0,-10579.194938691206,opel,Opel Adam,6
5850,25248.0,-19398.45189477883,audi,Audi Q5,14
51899,26127.0,25772.3747302858,land-rover,Land Rover Discovery Sport,2
16200,24452.0,-8251.839306036301,opel,Opel Corsa,5
20360,24776.0,-4415.613640648153,volkswagen,Volkswagen Polo,6
24720,25056.0,-336.19739227126047,skoda,Skoda Octavia,5
12490,24304.0,-11813.84336737922,toyota,Toyota Auris,11
12999,24270.0,-11270.564671122287,bmw,BMW X1,14
10800,24192.0,-13391.623409358202,ford,Ford,7
28297,25313.0,2984.164081854611,hyundai,Hyundai KONA,1
8800,24015.0,-15215.19175228378,mercedes-benz,Mercedes-Benz C 200,12
21980,24792.0,-2812.2641628285382,nissan,Nissan Qashqai,5
8990,24934.0,-15943.797312352002,ford,Ford EcoSport,5
57000,26337.0,30663.388871778465,land-rover,Land Rover Range Rover Sport,5
6900,22939.0,-16039.057670065009,opel,Opel Astra,7
9990,23811.0,-13821.326128472676,honda,Honda Civic,11
29990,25687.0,4302.629667048463,mazda,Mazda CX-3,2
13400,24009.0,-10609.229534798407,audi,Audi Q3,11
78288,27793.0,50494.5814938967,audi,Audi Q8,1
81850,28081.0,53768.75384240344,volvo,Volvo XC90,2
16600,24771.0,-8171.143243649029,mercedes-benz,Mercedes-Benz E 250,14
27822,25403.0,2419.1786749649073,seat,SEAT Ateca,3
12950,24355.0,-11404.846997359185,opel,Opel Mokka,9
20300,25031.0,-4731.272329862644,bmw,BMW Z4,15
29999,26635.0,3363.633713666888,bmw,BMW 140,8
11390,24074.0,-12684.34351494905,peugeot,Peugeot 108,4
66300,29066.0,37234.347489906875,mercedes-benz,Mercedes-Benz GLE 63 AMG,6
10950,24349.0,-13399.144641497227,mercedes-benz,Mercedes-Benz SLK 230,23
81900,28190.0,53710.229875850695,land-rover,Land Rover Defender,2
34990,26160.0,8829.728929944857,mercedes-benz,Mercedes-Benz E 350,4
23990,24987.0,-996.8375286057162,seat,SEAT Arona,3
7500,25110.0,-17610.165152054415,bmw,BMW 730,12
23950,25116.0,-1165.9933612757777,volkswagen,Volkswagen Golf,3
19500,24727.0,-5226.7150611719735,bmw,BMW 520,7
3500,23330.0,-19829.629458378025,audi,Audi A4,22
13650,24448.0,-10797.845675983554,mercedes-benz,Mercedes-Benz E 220,15
2500,22870.0,-20369.755103219795,hyundai,Hyundai Atos,19
10500,24760.0,-14259.98805316574,bmw,BMW X3,13
19990,24795.0,-4804.8702204654255,hyundai,Hyundai TUCSON,6
21900,24959.0,-3059.086765956359,citroen,Citroen C3 Aircross,2
17900,25314.0,-7413.891364546176,ford,Ford Focus,5
6999,23586.0,-16587.04604276672,bmw,BMW X3,18
46440,26159.0,20280.60272939431,audi,Audi A5,2
24440,25620.0,-1180.233587855575,ford,Ford Edge,7
8750,25236.0,-16485.830594485018,mercedes-benz,Mercedes-Benz CLS 350,19
16950,24666.0,-7715.701386142442,ford,Ford Grand C-Max,8
15490,24841.0,-9351.385802876986,renault,Renault Megane,7
16850,24322.0,-7472.212538536707,skoda,Skoda Fabia,7
10500,25488.0,-14988.22472142256,skoda,Skoda Superb,8
33890,25811.0,8078.934674226413,skoda,Skoda Karoq,1
80550,28319.0,52230.87144230484,land-rover,Land Rover Defender,2
67950,27912.0,40038.41445740835,cadillac,Cadillac Escalade,5
19690,24676.0,-4986.204048550939,fiat,Fiat 500C,2
17890,24444.0,-6554.31587196729,seat,SEAT Arona,3
56000,25319.0,30680.922263801855,mercedes-benz,Mercedes-Benz Marco Polo,6
38190,25710.0,12480.065345278941,mitsubishi,Mitsubishi Eclipse Cross,1
7500,23796.0,-16295.880560086829,lada,Lada Niva,12
25800,23953.0,1847.3105155077174,mercedes-benz,Mercedes-Benz Vito,8
19999,25500.0,-5500.795378040792,volkswagen,Volkswagen Golf,12
32290,25505.0,6785.106934322899,ford,Ford Focus,1
39949,26653.0,13295.853094568123,mercedes-benz,Mercedes-Benz A 35 AMG,5
4990,23357.0,-18367.449540930334,mercedes-benz,Mercedes-Benz A 160,14
3190,23279.0,-20088.609249953002,kia,Kia Picanto,15
68780,25767.0,43013.33131899581,volkswagen,Volkswagen T6.1 California,1
72450,26653.0,45796.8542980876,volkswagen,Volkswagen Touareg,3
23749,25110.0,-1361.086935958705,skoda,Skoda Octavia,6
39950,25455.0,14495.272617899373,mercedes-benz,Mercedes-Benz GLE 350,6
19990,24391.0,-4400.913358865597,ford,Ford Tourneo Courier,4
69990,26172.0,43818.05962771417,audi,Audi A6,1
29990,25616.0,4373.9619702686105,ford,Ford Focus,1
19999,24851.0,-4852.149592068461,fiat,Fiat 124 Spider,6
2299,23132.0,-20833.09214480286,volkswagen,Volkswagen Polo,18
45890,25779.0,20111.099082300312,volvo,Volvo XC60,2
11990,24105.0,-12114.770750371354,dacia,Dacia Sandero,6
12999,24313.0,-11313.506179443884,kia,Kia Ceed SW / cee'd SW,6
57850,25900.0,31950.06792398101,mercedes-benz,Mercedes-Benz GLA 200,1
88850,27184.0,61666.42038660121,audi,Audi Q8,1
4000,23716.0,-19715.648925142486,bmw,BMW 116,14
17000,25115.0,-8115.492915385781,volkswagen,Volkswagen Beetle,11
5900,23967.0,-18067.45305660362,opel,Opel Astra,16
10850,23612.0,-12761.595232025895,ford,Ford Transit,15
11600,23956.0,-12356.32774830313,volkswagen,Volkswagen CC,10
49990,27806.0,22184.033612953965,porsche,Porsche Cayenne,7
122900,28160.0,94739.86740990437,porsche,Porsche 991,7
5700,23681.0,-17980.9705199759,skoda,Skoda Octavia,15
29390,25804.0,3586.283945334213,seat,SEAT Arona,1
13600,24340.0,-10739.775960990366,dacia,Dacia Sandero,4
5999,23675.0,-17675.797700306834,volkswagen,Volkswagen Golf,16
22300,25107.0,-2807.342929976927,volkswagen,Volkswagen Golf,6
12950,24417.0,-11466.686664901681,volvo,Volvo V40,10
20590,24684.0,-4093.764872573385,seat,SEAT Ibiza,2
1999,23097.0,-21098.1141173055,ford,Ford Fiesta,17
3450,23301.0,-19850.861434326678,kia,Kia Picanto,10
13890,23572.0,-9681.610916274265,nissan,Nissan NV300,6
23460,24783.0,-1323.2880541638078,jeep,Jeep Compass,5
23999,25140.0,-1140.7944046766352,mercedes-benz,Mercedes-Benz CLA 200,7
71210,25719.0,45491.11619201883,volkswagen,Volkswagen T6.1 California,2
9990,24395.0,-14405.404685774804,peugeot,Peugeot 3008,12
20999,25894.0,-4895.29854875421,hyundai,Hyundai i30,6
8350,23594.0,-15243.510704461896,volkswagen,Volkswagen up!,11
6400,24309.0,-17908.567295010736,volkswagen,Volkswagen Passat,12
14999,24737.0,-9737.915002259771,seat,SEAT Leon,4
20860,24507.0,-3646.7342760141873,seat,SEAT Arona,6
26045,25313.0,731.9966699118777,renault,Renault Kangoo,2
21500,24405.0,-2904.709355752613,audi,Audi Q2,6
14900,24660.0,-9759.861340051903,renault,Renault Kadjar,8
2700,23388.0,-20688.024253786687,ford,Ford Mondeo,19
5500,23464.0,-17964.365082919776,fiat,Fiat Doblo,12
12990,24082.0,-11091.997461958115,audi,Audi A3,10
65000,27904.0,37096.25088687429,audi,Audi A7,6
1550,23069.0,-21518.887365999974,bmw,BMW 316,22
26280,24701.0,1579.016757390702,bmw,BMW 118,4
19990,24804.0,-4813.555741746604,volkswagen,Volkswagen Golf Sportsvan,6
15980,24127.0,-8146.767292581906,mercedes-benz,Mercedes-Benz A 180,12
34490,26520.0,7969.818564866586,volkswagen,Volkswagen Golf,7
12300,24266.0,-11966.194519558816,bmw,BMW 116,11
37500,28239.0,9261.219867738637,bmw,BMW 650,8
28885,25512.0,3373.1657057798366,bmw,BMW X2,6
8900,24032.0,-15131.986995179966,volkswagen,Volkswagen Golf Plus,13
12800,24135.0,-11335.255151140176,fiat,Fiat 500C,8
16440,24174.0,-7734.072110522553,audi,Audi A3,10
30190,25560.0,4630.307189173796,kia,Kia XCeed,1
15950,24821.0,-8870.811653335502,skoda,Skoda Fabia,4
21480,25834.0,-4353.924856412086,seat,SEAT Tarraco,1
27080,24986.0,2094.0076943297936,seat,SEAT Arona,1
17890,24795.0,-6904.551133467401,toyota,Toyota Yaris,1
38990,26132.0,12857.969618480347,mercedes-benz,Mercedes-Benz C 300,7
14799,23779.0,-8979.798193298768,ford,Ford Transit,7
