actual,predicted,error,brand,model,age
66950,45407.0,21543.205344749324,audi,Audi A6,1
3000,-2179.0,5178.720004707055,opel,Opel Corsa,17
16995,17692.0,-697.3269800132475,volkswagen,Volkswagen Caddy,9
22999,23043.0,-43.81268186028319,renault,Renault Talisman,4
11999,14556.0,-2556.614714957419,skoda,Skoda Fabia,7
27150,29285.0,-2134.5423916662767,kia,Kia XCeed,1
9199,7575.0,1623.6241891156096,ford,Ford B-Max,11
10670,13005.0,-2334.926039123249,mini,MINI One D,7
339000,-65283.0,404282.95671992074,ferrari,Ferrari F8 Tributo,3
6500,6957.0,-456.93996774138213,volkswagen,Volkswagen Cross Touran,17
6599,9926.0,-3327.113299114584,ford,Ford Focus,10
28980,15202.0,13777.946107253054,seat,SEAT Ateca,3
18990,20317.0,-1326.7616811471526,mercedes-benz,Mercedes-Benz B 220,9
24789,29342.0,-4553.393211915616,volkswagen,Volkswagen Taigo,2
17480,18172.0,-692.3731520220863,hyundai,Hyundai TUCSON,6
12990,18824.0,-5833.703195019643,opel,Opel Corsa,5
10900,8722.0,2177.703772222483,bmw,BMW 118,15
14990,16791.0,-1800.8302207481174,smart,smart forTwo,6
35499,35082.0,417.09157045705797,seat,SEAT Tarraco,5
25890,28919.0,-3029.161195575449,skoda,Skoda Superb,8
12799,12261.0,538.1748870409283,volkswagen,Volkswagen Golf Sportsvan,9
18988,16097.0,2891.2849967547936,renault,Renault Talisman,6
8999,7548.0,1450.5196930047805,opel,Opel Astra,13
7950,7461.0,489.21388122788994,seat,SEAT Ibiza,10
33990,30398.0,3591.657135535763,mercedes-benz,Mercedes-Benz E 220,7
8700,8922.0,-222.43297742115828,volkswagen,Volkswagen T4 Multivan,25
10900,9499.0,1400.6798099226544,hyundai,Hyundai i20,7
21750,21483.0,267.3599121364241,skoda,Skoda Karoq,6
14790,18081.0,-3291.362807611782,volkswagen,Volkswagen Caddy,10
9900,9516.0,383.63877869025055,audi,Audi A5,15
2200,5217.0,-3017.3429086142496,volkswagen,Volkswagen Lupo,22
12500,15394.0,-2893.8439431021234,seat,SEAT Ibiza,4
14990,18973.0,-3983.3524313559064,audi,Audi A4,9
13200,20239.0,-7039.1177123211055,bmw,BMW 328,12
8750,11374.0,-2624.0825580369947,audi,Audi A6,14
29890,33716.0,-3825.975860630271,volvo,Volvo XC60,6
8990,16816.0,-7825.857044094017,ford,Ford Fiesta,8
20900,24514.0,-3613.682547861499,mercedes-benz,Mercedes-Benz E 350,12
66900,80367.0,-13467.395308947336,porsche,Porsche Cayenne,6
38800,51773.0,-12973.045295792523,audi,Audi SQ7,7
11790,11386.0,403.7326928784769,smart,smart forTwo,9
2490,-1135.0,3625.32504975528,opel,Opel Astra,20
25999,25665.0,333.6203031145378,mercedes-benz,Mercedes-Benz C 220,8
45990,42211.0,3778.94163786876,ssangyong,SsangYong REXTON,1
17700,23301.0,-5601.3464667346925,bmw,BMW X1,9
21990,26943.0,-4953.182147414744,bmw,BMW 320,8
23749,25359.0,-1609.8908744139626,audi,Audi A4,7
17900,19842.0,-1941.9390459839415,ford,Ford Galaxy,7
22390,23281.0,-890.6322022638342,fiat,Fiat Tipo,2
20840,32089.0,-11248.831920303375,toyota,Toyota Proace,3
51999,48183.0,3816.0428610466915,alfa-romeo,Alfa Romeo Stelvio,2
13950,13360.0,589.7866973655382,opel,Opel Astra,8
43500,48786.0,-5285.54603842408,mercedes-benz,Mercedes-Benz GLE 350,8
16990,14670.0,2319.7970896355764,skoda,Skoda Octavia,7
14500,15756.0,-1255.698660948914,seat,SEAT Leon,7
16990,15963.0,1026.8489769928947,ford,Ford Grand C-Max,8
26889,28237.0,-1348.1073044428958,bmw,BMW X1,6
13850,18212.0,-4362.376365269236,opel,Opel Adam,6
5850,19725.0,-13874.51353151632,audi,Audi Q5,14
51899,48940.0,2958.5927424357214,land-rover,Land Rover Discovery Sport,2
16200,16879.0,-679.0278086432154,opel,Opel Corsa,5
20360,21630.0,-1270.0783898477966,volkswagen,Volkswagen Polo,6
24720,21781.0,2938.833377002509,skoda,Skoda Octavia,5
12490,9595.0,2895.195635461301,toyota,Toyota Auris,11
12999,11153.0,1846.2950123220162,bmw,BMW X1,14
10800,14774.0,-3973.509846987161,ford,Ford,7
28297,28039.0,257.9038852589256,hyundai,Hyundai KONA,1
8800,14301.0,-5501.146838663539,mercedes-benz,Mercedes-Benz C 200,12
21980,22241.0,-260.9612913597739,nissan,Nissan Qashqai,5
8990,18902.0,-9911.570938776305,ford,Ford EcoSport,5
