actual,predicted,error,brand,model,age
22400,22103.0,297.3803064116437,opel,Opel Combo,3
66950,44343.0,22607.24862752827,audi,Audi A6,1
3000,-2560.0,5560.369400701271,opel,Opel Corsa,17
16995,8818.0,8176.526289270914,volkswagen,Volkswagen Caddy,9
22999,27821.0,-4822.064168589735,renault,Renault Talisman,4
11999,15107.0,-3108.1915347579215,skoda,Skoda Fabia,7
27150,34492.0,-7341.528273151722,kia,Kia XCeed,1
9199,7657.0,1542.156639490142,ford,Ford B-Max,11
10670,12043.0,-1373.073902772032,mini,MINI One D,7
339000,276235.0,62765.275686191104,ferrari,Ferrari F8 Tributo,3
6500,5851.0,649.1254550974409,volkswagen,Volkswagen Cross Touran,17
6599,11360.0,-4760.95452495662,ford,Ford Focus,10
28980,14768.0,14211.995748780031,seat,SEAT Ateca,3
18990,24913.0,-5922.790130335012,mercedes-benz,Mercedes-Benz B 220,9
24789,28077.0,-3288.101263174747,volkswagen,Volkswagen Taigo,2
17480,16464.0,1016.2824988389402,hyundai,Hyundai TUCSON,6
12990,19315.0,-6324.6382377897535,opel,Opel Corsa,5
10900,7608.0,3291.5419628965283,bmw,BMW 118,15
14990,12446.0,2544.1401007064705,smart,smart forTwo,6
35499,31362.0,4136.80036432264,seat,SEAT Tarraco,5
25890,36394.0,-10504.333103847108,skoda,Skoda Superb,8
12799,14736.0,-1936.6390022774322,volkswagen,Volkswagen Golf Sportsvan,9
18988,20072.0,-1084.2729093223243,renault,Renault Talisman,6
8999,11634.0,-2634.6135442336927,opel,Opel Astra,13
7950,9664.0,-1714.3031824882055,seat,SEAT Ibiza,10
33990,29899.0,4090.918157488304,mercedes-benz,Mercedes-Benz E 220,7
8700,-4034.0,12733.59088382453,volkswagen,Volkswagen T4 Multivan,25
10900,10267.0,632.8927410784963,hyundai,Hyundai i20,7
21750,17355.0,4394.928683265545,skoda,Skoda Karoq,6
14790,17391.0,-2601.254669820286,volkswagen,Volkswagen Caddy,10
9900,16334.0,-6434.083601064605,audi,Audi A5,15
2200,-13901.0,16100.509131995015,volkswagen,Volkswagen Lupo,22
12500,13041.0,-541.3933400604365,seat,SEAT Ibiza,4
14990,17222.0,-2232.1831886313958,audi,Audi A4,9
13200,22610.0,-9410.23985043152,bmw,BMW 328,12
8750,6597.0,2153.1207967506925,audi,Audi A6,14
29890,30888.0,-998.2025436598196,volvo,Volvo XC60,6
8990,11624.0,-2634.481986182691,ford,Ford Fiesta,8
20900,30840.0,-9939.81500101585,mercedes-benz,Mercedes-Benz E 350,12
66900,80198.0,-13298.169168886147,porsche,Porsche Cayenne,6
38800,58815.0,-20015.225552350363,audi,Audi SQ7,7
11790,7304.0,4485.951872470225,smart,smart forTwo,9
2490,-914.0,3403.9590520594647,opel,Opel Astra,20
25999,28522.0,-2523.1145600897944,mercedes-benz,Mercedes-Benz C 220,8
45990,45436.0,553.7739612991427,ssangyong,SsangYong REXTON,1
17700,27866.0,-10166.082471837166,bmw,BMW X1,9
21990,28951.0,-6961.272574285751,bmw,BMW 320,8
23749,29442.0,-5693.375399593722,audi,Audi A4,7
17900,18262.0,-362.3398402191815,ford,Ford Galaxy,7
22390,26250.0,-3859.7425741542975,fiat,Fiat Tipo,2
20840,22793.0,-1953.0599988956856,toyota,Toyota Proace,3
51999,41854.0,10144.689775583029,alfa-romeo,Alfa Romeo Stelvio,2
13950,13588.0,361.96251911874424,opel,Opel Astra,8
43500,36421.0,7078.646830911413,mercedes-benz,Mercedes-Benz GLE 350,8
16990,19018.0,-2027.7396798235495,skoda,Skoda Octavia,7
14500,13211.0,1288.8548076002407,seat,SEAT Leon,7
16990,17082.0,-92.08600187429329,ford,Ford Grand C-Max,8
26889,26405.0,483.906840724856,bmw,BMW X1,6
13850,12394.0,1456.0079419105205,opel,Opel Adam,6
5850,25384.0,-19533.577792506883,audi,Audi Q5,14
51899,55867.0,-3967.802677528358,land-rover,Land Rover Discovery Sport,2
16200,18022.0,-1822.008593856648,opel,Opel Corsa,5
20360,23485.0,-3124.5249971350495,volkswagen,Volkswagen Polo,6
24720,24230.0,490.1062519114457,skoda,Skoda Octavia,5
12490,12820.0,-330.40314236276026,toyota,Toyota Auris,11
12999,10277.0,2721.9209660739652,bmw,BMW X1,14
10800,12704.0,-1904.1559445334715,ford,Ford,7
28297,27903.0,393.5803253096383,hyundai,Hyundai KONA,1
8800,15635.0,-6834.589352566865,mercedes-benz,Mercedes-Benz C 200,12
21980,26935.0,-4955.124219447622,nissan,Nissan Qashqai,5
8990,20372.0,-11382.312674082423,ford,Ford EcoSport,5
57000,50436.0,6564.176164766584,land-rover,Land Rover Range Rover Sport,5
6900,-3511.0,10411.161308094292,opel,Opel Astra,7
9990,5146.0,4844.409034435328,honda,Honda Civic,11
29990,33009.0,-3018.8355863958277,mazda,Mazda CX-3,2
13400,11725.0,1674.611266714006,audi,Audi Q3,11
78288,65696.0,12592.411308975483,audi,Audi Q8,1
81850,79901.0,1948.5300909763027,volvo,Volvo XC90,2
16600,22621.0,-6020.576789653562,mercedes-benz,Mercedes-Benz E 250,14
27822,32395.0,-4573.101541273747,seat,SEAT Ateca,3
12950,15138.0,-2187.576769948786,opel,Opel Mokka,9
20300,17863.0,2437.334060507903,bmw,BMW Z4,15
29999,48466.0,-18466.713639540583,bmw,BMW 140,8
11390,10861.0,528.9604504221134,peugeot,Peugeot 108,4
66300,88200.0,-21900.253768544237,mercedes-benz,Mercedes-Benz GLE 63 AMG,6
10950,9869.0,1080.9486358759677,mercedes-benz,Mercedes-Benz SLK 230,23
81900,91488.0,-9588.272959605616,land-rover,Land Rover Defender,2
34990,44544.0,-9553.686916330727,mercedes-benz,Mercedes-Benz E 350,4
23990,21611.0,2378.776495260434,seat,SEAT Arona,3
7500,20932.0,-13431.842123653652,bmw,BMW 730,12
23950,30627.0,-6677.231017411013,volkswagen,Volkswagen Golf,3
19500,19214.0,286.1492949534295,bmw,BMW 520,7
3500,-5433.0,8933.200983745748,audi,Audi A4,22
13650,16944.0,-3293.8438401611565,mercedes-benz,Mercedes-Benz E 220,15
2500,-12647.0,15147.37673091767,hyundai,Hyundai Atos,19
10500,17327.0,-6827.189899368441,bmw,BMW X3,13
19990,20057.0,-67.24476613982551,hyundai,Hyundai TUCSON,6
21900,25889.0,-3989.3096377430666,citroen,Citroen C3 Aircross,2
17900,26324.0,-8423.514414588299,ford,Ford Focus,5
6999,2555.0,4443.764285811914,bmw,BMW X3,18
46440,39879.0,6561.091389008521,audi,Audi A5,2
24440,34921.0,-10481.132251546704,ford,Ford Edge,7
8750,21595.0,-12844.765120433934,mercedes-benz,Mercedes-Benz CLS 350,19
16950,19704.0,-2753.785974368413,ford,Ford Grand C-Max,8
15490,18619.0,-3129.2913779376468,renault,Renault Megane,7
16850,14877.0,1973.32803501948,skoda,Skoda Fabia,7
10500,28472.0,-17972.34842525789,skoda,Skoda Superb,8
33890,35805.0,-1915.3874598799084,skoda,Skoda Karoq,1
80550,93725.0,-13175.447678518045,land-rover,Land Rover Defender,2
67950,66661.0,1289.061098362261,cadillac,Cadillac Escalade,5
19690,22507.0,-2817.185383640124,fiat,Fiat 500C,2
17890,21089.0,-3198.572991610803,seat,SEAT Arona,3
56000,32286.0,23714.360256313852,mercedes-benz,Mercedes-Benz Marco Polo,6
38190,40759.0,-2569.4594786371017,mitsubishi,Mitsubishi Eclipse Cross,1
7500,3581.0,3918.7460904360087,lada,Lada Niva,12
25800,14520.0,11280.325076202376,mercedes-benz,Mercedes-Benz Vito,8
19999,33640.0,-13641.409224791605,volkswagen,Volkswagen Golf,12
32290,29942.0,2347.7852041046754,ford,Ford Focus,1
39949,43189.0,-3240.054299578027,mercedes-benz,Mercedes-Benz A 35 AMG,5
4990,4721.0,269.1238927090526,mercedes-benz,Mercedes-Benz A 160,14
3190,-5232.0,8422.00547621854,kia,Kia Picanto,15
68780,53470.0,15309.9000863455,volkswagen,Volkswagen T6.1 California,1
72450,56166.0,16284.117273153439,volkswagen,Volkswagen Touareg,3
23749,24912.0,-1163.415316867984,skoda,Skoda Octavia,6
39950,31156.0,8794.462571374555,mercedes-benz,Mercedes-Benz GLE 350,6
19990,20877.0,-887.4723026268111,ford,Ford Tourneo Courier,4
69990,42578.0,27412.33546729143,audi,Audi A6,1
29990,35194.0,-5204.1153744646,ford,Ford Focus,1
19999,22221.0,-2222.357112556212,fiat,Fiat 124 Spider,6
2299,-1301.0,3600.44951865013,volkswagen,Volkswagen Polo,18
45890,38821.0,7068.9794942565495,volvo,Volvo XC60,2
11990,10162.0,1827.8580509691164,dacia,Dacia Sandero,6
12999,17709.0,-4709.828380662264,kia,Kia Ceed SW / cee'd SW,6
57850,39844.0,18005.90988567403,mercedes-benz,Mercedes-Benz GLA 200,1
88850,61920.0,26930.40403618582,audi,Audi Q8,1
