actual,predicted,error,brand,model,age
66950,45260.0,21690.15773683651,audi,Audi A6,1
3000,-2113.0,5113.350610130692,opel,Opel Corsa,17
16995,17305.0,-309.7604071193746,volkswagen,Volkswagen Caddy,9
22999,23111.0,-111.72267014601312,renault,Renault Talisman,4
11999,14513.0,-2513.880405003536,skoda,Skoda Fabia,7
27150,29320.0,-2169.8679857654315,kia,Kia XCeed,1
9199,7599.0,1599.8481590927804,ford,Ford B-Max,11
10670,13078.0,-2408.1102990305535,mini,MINI One D,7
339000,185798.0,153202.26465553645,ferrari,Ferrari F8 Tributo,3
6500,7242.0,-741.5202228198905,volkswagen,Volkswagen Cross Touran,17
6599,9957.0,-3357.9610795600147,ford,Ford Focus,10
28980,15160.0,13820.27477153129,seat,SEAT Ateca,3
18990,20290.0,-1299.9283649989338,mercedes-benz,Mercedes-Benz B 220,9
24789,29312.0,-4522.525643519377,volkswagen,Volkswagen Taigo,2
17480,18049.0,-569.0082399872626,hyundai,Hyundai TUCSON,6
12990,18861.0,-5870.890847783448,opel,Opel Corsa,5
10900,8709.0,2190.645320615702,bmw,BMW 118,15
14990,16792.0,-1802.4350182810012,smart,smart forTwo,6
35499,35039.0,460.40431379777874,seat,SEAT Tarraco,5
25890,28907.0,-3017.049307443438,skoda,Skoda Superb,8
12799,12351.0,447.64155969641615,volkswagen,Volkswagen Golf Sportsvan,9
18988,16115.0,2873.305443734387,renault,Renault Talisman,6
8999,7762.0,1237.2932445765,opel,Opel Astra,13
7950,7515.0,434.91786019378924,seat,SEAT Ibiza,10
33990,30417.0,3572.58259686768,mercedes-benz,Mercedes-Benz E 220,7
8700,8705.0,-4.594348948581683,volkswagen,Volkswagen T4 Multivan,25
10900,9576.0,1324.2693989292857,hyundai,Hyundai i20,7
21750,21334.0,416.1148865210089,skoda,Skoda Karoq,6
14790,18148.0,-3358.0763646477208,volkswagen,Volkswagen Caddy,10
9900,9623.0,276.9275175016028,audi,Audi A5,15
2200,5033.0,-2833.162900923693,volkswagen,Volkswagen Lupo,22
12500,15208.0,-2708.08237773825,seat,SEAT Ibiza,4
14990,18881.0,-3891.1022409604193,audi,Audi A4,9
13200,20325.0,-7125.44601464325,bmw,BMW 328,12
8750,10849.0,-2098.5701014249316,audi,Audi A6,14
29890,33556.0,-3666.0301623238192,volvo,Volvo XC60,6
8990,16703.0,-7712.5988151786005,ford,Ford Fiesta,8
20900,24399.0,-3499.0763581487954,mercedes-benz,Mercedes-Benz E 350,12
66900,81646.0,-14745.815041207796,porsche,Porsche Cayenne,6
38800,51692.0,-12891.844544304935,audi,Audi SQ7,7
11790,11391.0,398.6738528623464,smart,smart forTwo,9
2490,-1140.0,3629.704078312381,opel,Opel Astra,20
25999,25686.0,313.05193952966147,mercedes-benz,Mercedes-Benz C 220,8
45990,42236.0,3753.655486217569,ssangyong,SsangYong REXTON,1
17700,23547.0,-5847.48141215081,bmw,BMW X1,9
21990,27152.0,-5161.740033188209,bmw,BMW 320,8
23749,25526.0,-1776.55531333639,audi,Audi A4,7
17900,19906.0,-2005.544411601073,ford,Ford Galaxy,7
22390,23257.0,-867.4801402705198,fiat,Fiat Tipo,2
20840,31906.0,-11066.358161781813,toyota,Toyota Proace,3
51999,47993.0,4006.4525664843386,alfa-romeo,Alfa Romeo Stelvio,2
13950,13323.0,627.4715054000717,opel,Opel Astra,8
43500,48712.0,-5212.429206127381,mercedes-benz,Mercedes-Benz GLE 350,8
16990,14742.0,2247.702129516618,skoda,Skoda Octavia,7
14500,15608.0,-1107.8181092545765,seat,SEAT Leon,7
16990,15960.0,1030.2573612740835,ford,Ford Grand C-Max,8
26889,28208.0,-1319.3418592945673,bmw,BMW X1,6
13850,18016.0,-4165.910131148845,opel,Opel Adam,6
5850,19820.0,-13970.408667399817,audi,Audi Q5,14
51899,49003.0,2896.2571633405896,land-rover,Land Rover Discovery Sport,2
16200,16974.0,-774.3939602190512,opel,Opel Corsa,5
20360,21797.0,-1436.6800394727616,volkswagen,Volkswagen Polo,6
24720,21805.0,2915.0634563605236,skoda,Skoda Octavia,5
12490,9771.0,2719.4168776963124,toyota,Toyota Auris,11
12999,11070.0,1928.9233671070524,bmw,BMW X1,14
10800,16363.0,-5562.87683737193,ford,Ford,7
28297,28006.0,290.69579872884424,hyundai,Hyundai KONA,1
8800,14382.0,-5582.09310062694,mercedes-benz,Mercedes-Benz C 200,12
21980,22473.0,-492.74710713109016,nissan,Nissan Qashqai,5
8990,18886.0,-9896.457822119119,ford,Ford EcoSport,5
57000,55630.0,1369.8238139831665,land-rover,Land Rover Range Rover Sport,5
6900,-266.0,7165.736283939961,opel,Opel Astra,7
9990,10271.0,-281.29185843079904,honda,Honda Civic,11
29990,32131.0,-2141.2375245216317,mazda,Mazda CX-3,2
13400,16150.0,-2749.777508860032,audi,Audi Q3,11
78288,80261.0,-1972.5197350922244,audi,Audi Q8,1
81850,72466.0,9383.81291685364,volvo,Volvo XC90,2
